"id","summary","details","client_id","client_name","site_id","site_name","tickettype_id","tickettype","status_id","status","outcome","priority","category_1","category_2","category_3","category_4","dateoccurred","datecleared","agent_id","agent_name","user_id","user_name","source"
"77135","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T16:20:59.967","2026-04-12T16:21:26.98","1","Unassigned","443","General User","-9"
"77134","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T16:20:01Z to 2026-04-12T16:20:01Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T16:20:01Z to 2026-04-12T16:20:01Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T16:20:56.463","2026-04-12T16:44:59.207","1","Unassigned","443","General User","-9"
"77133","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T15:21:41.943","2026-04-12T15:21:56.8","1","Unassigned","443","General User","-9"
"77132","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T15:20:51Z to 2026-04-12T15:20:51Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T15:20:51Z to 2026-04-12T15:20:51Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T15:21:38.313","2026-04-12T15:45:46.8","1","Unassigned","443","General User","-9"
"77131","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T14:41:48.057","2026-04-12T14:42:02.397","1","Unassigned","443","General User","-9"
"77130","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T14:40:45Z to 2026-04-12T14:40:45Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T14:40:45Z to 2026-04-12T14:40:45Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T14:41:43.373","2026-04-12T15:05:45.677","1","Unassigned","443","General User","-9"
"77129","Login details for Google Workspace","EXTERNAL EMAIL - This email was sent by a person from outside your organization. Exercise caution when clicking links, opening attachments or taking further action, before validating its authenticity. Hey Scott,Our primary google account for the business is info@adeptplumbingandgas.com.auThe password is 1Sam1Gyp$-I am pretty sure when you try to log in we will need to click that it is us and select a number. That will come up on my phone.I dont have my phone turned on the whole time over here - but I will keep it on today between 6am and 1pm Brisbane time - after that we will be in bed and are scuba diving on Tuesday so may not be in a position to answer.Thanks,","379","Adept Plumbing Pty Ltd","528","Testing Site 1","1",,"1",,,"3","","","","","2026-04-12T14:31:10.85",,"3","Scott Holzberger","1833","Andrea Carter","0"
"77128","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T13:26:31.64","2026-04-12T13:27:02.573","1","Unassigned","443","General User","-9"
"77127","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T13:25:33Z to 2026-04-12T13:25:33Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T13:25:33Z to 2026-04-12T13:25:33Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T13:26:26.3","2026-04-12T13:50:27.683","1","Unassigned","443","General User","-9"
"77126","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T12:47:28.533","2026-04-12T12:48:10.53","1","Unassigned","443","General User","-9"
"77125","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T12:46:26Z to 2026-04-12T12:46:26Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T12:46:26Z to 2026-04-12T12:46:26Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T12:47:23.47","2026-04-12T13:11:23.473","1","Unassigned","443","General User","-9"
"77124","Your weekly PIM digest for Wire-Not Electrical Pty Ltd (ID: 5f24a087-fbad-4ed0-8f57-88325beb1fe8)","EXTERNAL EMAIL - This email was sent by a person from outside your organization. Exercise caution when clicking links, opening attachments or taking further action, before validating its authenticity. Here’s a summary of activities over the last seven days. Azure Active Directory is now Microsoft Entra ID. Learn More.Your weekly PIM digest for Wire-Not Electrical Pty Ltd (ID: 5f24a087-fbad-4ed0-8f57-88325beb1fe8)Thanks for using Microsoft Entra Privileged Identity Management (PIM). This weekly digest shows your PIM activities over the last seven days: User activation0 Users made permanent0 Assignments made in PIM0 Assignments made outside of PIM0 Overview of your top rolesRolePermanentEligibleActionExchange Administrator40Reduce permanent >Global Administrator30Reduce permanent >SharePoint Administrator20Reduce permanent >RoleExchange AdministratorPermanent4Eligible0ActionTake action >RoleGlobal AdministratorPermanent3Eligible0ActionTake action >RoleSharePoint AdministratorPermanent2Eligible0ActionTake action >Learn more about Microsoft Entra Privileged Identity Management > Privacy Statement Microsoft Corporation, One Microsoft Way, ​Redmond, WA 98052​","12","ZaheZone","1","Unknown","1",,"22",,,"3","","","","","2026-04-12T00:45:38.057",,"1","Unassigned","19","General User","0"
"77123","Alert - silverstonedevelopments.onmicrosoft.com - AllTenants: Alert on expiring application secrets","This alert is for tenant silverstonedevelopments.onmicrosoft.com. AppNameAppIdExpiresSecretNameSecretIDTenant Ezescane7b65bd8-8c7c-4a08-9936-56aef5427d0a05/09/2026 00:49:08Password uploaded on Fri May 09 2025993d504b-35b9-484d-bc76-6ea506b6649dsilverstonedevelopments.onmicrosoft.com Snooze Individual Alerts Click a button to snooze that specific alert item. You will need to be signed in to CIPP. {""AppId"":""e7b65bd8-8c7c-4a08-9936-56aef5427d0a"",""AppName"":""Ezescan"",""Expires"":""2026-05-09T00:49:08.861Z"",""SecretID"":""993d504b-35b9-484d-bc76-6ea506b6649d"",""SecretName"":""Password uploaded on Fri May 09 7 Days 14 Days 30 Days 90 Days","61","Silverstone Developments","85","Silverstone - Newstead","21",,"1",,,"4","","","","","2026-04-11T06:47:27.833",,"1","Unassigned","225","General User","3"
"77122","Device name: NLTABNEAD01 - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-10T21:28:45Z' - MODERATE/MEDIUM","Device name: NLTABNEAD01Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-10T21:28:45Z'","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-10T21:29:20.083","2026-04-10T21:32:18.43","1","Unassigned","478","General User","-9"
"77121","Device display name: BWPSSD-5CD0151X (Phil B) - Disk Volume Free space for 'C:' is less than or equal to 10% from 2026-04-10T20:34:19Z to 2026-04-10T20:34:19Z - MODERATE/MEDIUM","Device display name: BWPSSD-5CD0151X (Phil B)Disk Volume Free space for 'C:' is less than or equal to 10% from 2026-04-10T20:34:19Z to 2026-04-10T20:34:19Z","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-10T20:35:01.537","2026-04-10T20:41:04.257","1","Unassigned","1166","Phillip Bird","-9"
"77120","Device display name: BWPSSD-5CD0151X (Phil B) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 10% for 15 minutes, start alerting after 10 minutes - MODERATE/MEDIUM","Device display name: BWPSSD-5CD0151X (Phil B)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 10% for 15 minutes, start alerting after 10 minutes","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-10T20:35:01.67","2026-04-10T20:44:28.163","1","Unassigned","1166","Phillip Bird","-9"
"77119","[Curio | John Ryan] Backup succeeded with warnings","Cannot retrieve the contents of Microsoft 365 mailbox folder 'john@curiofinancial.au/Inbox/Wyuna - Unread/Wyuna': 'error while reading SOAP response' Time: 2026-04-10T19:02:23Z Plan name: O365 Mailboxes Machine name: Curio | John Ryan Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","48","Curio Financial","68","Curio Financial - Warrick","21",,"9",,,"3","Account Administration","","","","2026-04-10T19:11:37.197","2026-04-11T11:41:36.037","1","Unassigned","208","General User","3"
"77118","MailStore Server Status Report","MailStore Server Status Report LicenseLicensed toNLT DigitalSupport Expiry DateStandard Service expires 12/2/2026 (235 days left)Users11 unused of 80 usersServerServer NameNLT-MAILSTOREServer Operating SystemMicrosoft Windows Server 2022 Standard (64-bit)Version25.4.0.23213 (64-bit; Build Date 9/18/2025)Update availableArchiveTotal Size2,286,654 messagesNewly Archived (3/30/2026 to 4/5/2026)6,619 messagesNumber of Archive Stores1Current Archive Store2024-11ComplianceArchive Access by AdminEnabledRetention PoliciesTotal: 0 / Enabled: 0 / Automatic Deletion: 0Legal HoldDisabledAuditing33 event types of 43Archiving Statistics (3/30/2026 to 4/5/2026) NameSuccessfulWarningFailedLast ExecutionLast ResultMailStore Gateway Mailbox1995004/5/2026 11:55:42 PMSucceededJobs (3/30/2026 to 4/5/2026) Important Notice: The last result only represents the status of the job execution itself but does not necessarily correspond to the result of the command executed by this job. To access the output of the executed command, go to Administrative Tools > Management API > Job Results in the client and double-click on the respective entry. NameSuccessfulWarningFailedLast ExecutionLast ResultProcessRetentionPolicies (System)7004/5/2026 3:30:03 AMSucceededSend Status Report (NLT)1004/4/2026 5:00:02 AMSucceeded© MailStore Software GmbH","12","ZaheZone","89","ZaheZone - Carina Heights","1",,"1",,,"3","","","","","2026-04-10T19:00:37.293",,"1","Unassigned","776","NLT Digital","0"
"77117","MailStore Server Status Report","MailStore Server Status Report LicenseLicensed toZaheZone - InternalSupport Expiry DateStandard Service expires 10/20/2026 (192 days left)Users7 unused of 25 usersServerServer NameZAHEZONE_MAILSTServer Operating SystemMicrosoft Windows Server 2022 Standard (64-bit)Version25.4.0.23213 (64-bit; Build Date 9/18/2025)Update availableArchiveTotal Size952,101 messagesNewly Archived (3/30/2026 to 4/5/2026)0 messagesNumber of Archive Stores10Current Archive Store2026-04ComplianceArchive Access by AdminEnabledRetention PoliciesTotal: 0 / Enabled: 0 / Automatic Deletion: 0Legal HoldDisabledAuditing34 event types of 43Jobs (3/30/2026 to 4/5/2026) Important Notice: The last result only represents the status of the job execution itself but does not necessarily correspond to the result of the command executed by this job. To access the output of the executed command, go to Administrative Tools > Management API > Job Results in the client and double-click on the respective entry. NameSuccessfulWarningFailedLast ExecutionLast ResultProcessRetentionPolicies (System)7004/5/2026 1:30:00 PMSucceededSend Status Report 1004/4/2026 5:00:03 AMSucceeded© MailStore Software GmbH","12","ZaheZone","89","ZaheZone - Carina Heights","1",,"1",,,"3","","","","","2026-04-10T19:00:35.847",,"1","Unassigned","778","ZaheZone Mailstore","0"
"77116","ZaheZone - Security event detected","Hello,Please look at the details of the following email.Details: Event dataSubjectGet $100 Bonus & Trade Without KYCSenderdang.vanhoang3007@gmail.comRecipientsperry@airnoosa.comDate04/11/2026 03:21 AM (GMT+10)Detected in attachment-DLP CategoriesDLP DataTypesSensitive Attachment File Type","12","ZaheZone","89","ZaheZone - Carina Heights","21",,"1",,,"4","","","","","2026-04-10T17:22:42.867",,"1","Unassigned","162","Perry Taylor","0"
"77115","[NLTABNEAD01.nlta.local] Activity failed","Activity 'Replication' failed. Operation with file '\\?\UNC\172.16.10.18\NLT_Backups\Acronis\NLT-MAILSTORE-D550184E-A56C-43DB-A06F-48AF2B9325D0-6A69D1E1-6767-408C-AC06-73145831E062A-0021.tibx' failed because there is no enough free space on the target disk. Time: 2026-04-10T08:21:50Z Plan name: Replicate Offsite to Onsite: Wasabi location Machine name: NLTABNEAD01.nlta.local Troubleshoot: Ensure that there is enough free space on the target disk. Support link: https://kb.acronis.com/errorcode?build=20738&language=en-US&linetag=0xC3BC4C1EB2299B24&os=Windows&product=cloud&ser=ActivityFailed%2B0x01350016%2B0x01350016%2B0x01350016%2B0x01350016%2B0x01350016%2B0x00A100D1%2B0x01650009%2B0x00040004%2B0x029B138E%2B0x0000FFF0%2B0x80070070&version=17.0","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","1",,"1",,,"1","Account Administration","","","","2026-04-10T08:22:19.407",,"1","Unassigned","478","General User","3"
"77105","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-10T03:57:09.527","2026-04-10T03:57:23.95","1","Unassigned","1750","Finnegan Richmond","-9"
"77102","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T23:40:08.153","2026-04-09T23:40:23.97","1","Unassigned","1750","Finnegan Richmond","-9"
"77099","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T20:37:53Z to 2026-04-09T20:51:57Z - MODERATE/MEDIUM","Device name: DESKTOP-VNIC9ALMemory Utilization is greater than or equal to 90% from 2026-04-09T20:37:53Z to 2026-04-09T20:51:57ZTop 5 processes:firefox.exe PID 25500(717688832 bytes) firefox.exe PID 18888(710455296 bytes) firefox.exe PID 19624(660762624 bytes) firefox.exe PID 27404(633679872 bytes) firefox.exe PID 28560(449974272 bytes)","12","ZaheZone","18","Main","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T20:52:30.127","2026-04-09T21:16:37.663","1","Unassigned","1749","Shaun Howlett","-9"
"77098","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T19:24:07.503","2026-04-09T19:24:35.88","1","Unassigned","1750","Finnegan Richmond","-9"
"77097","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T19:23:14Z to 2026-04-09T19:23:14Z - MODERATE/MEDIUM","Device display name: BWP-5CD450HRXW (Finnegan R)Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T19:23:14Z to 2026-04-09T19:23:14Z","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T19:24:06.43","2026-04-09T23:24:58.52","1","Unassigned","1750","Finnegan Richmond","-9"
"77096","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T17:37:24Z to 2026-04-09T17:51:27Z - MODERATE/MEDIUM","Device name: DESKTOP-VNIC9ALMemory Utilization is greater than or equal to 90% from 2026-04-09T17:37:24Z to 2026-04-09T17:51:27ZTop 5 processes:firefox.exe PID 25500(719376384 bytes) firefox.exe PID 18888(713777152 bytes) firefox.exe PID 19624(678273024 bytes) firefox.exe PID 27404(658186240 bytes) firefox.exe PID 6440(475398144 bytes)","12","ZaheZone","18","Main","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T17:52:08.217","2026-04-09T18:15:59.733","1","Unassigned","1749","Shaun Howlett","-9"
"77095","[DEV] Backup succeeded with warnings","Failed to get the properties of list '0553 Ascot Racecourse Rd 77'. Time: 2026-04-09T15:54:02Z Plan name: SharePoint Machine name: DEV Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","61","Silverstone Developments","85","Silverstone - Newstead","21",,"9",,,"3","Account Administration","","","","2026-04-09T16:01:37.49","2026-04-09T23:21:36.213","1","Unassigned","225","General User","3"
"77094","[3CX Repository] Backup succeeded with warnings","Failed to get the properties of list 'Documents'. Time: 2026-04-09T15:36:34Z Plan name: SharePoint sites to Cloud storage (2) Machine name: 3CX Repository Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","59","Rothgard","83","Rothgard - Fortitude Valley","21",,"9",,,"3","Account Administration","","","","2026-04-09T15:41:37.54","2026-04-09T23:22:19.157","1","Unassigned","223","General User","3"
"77093","[Admin] Backup succeeded with warnings","Failed to get the properties of list 'BWP Admin'. Time: 2026-04-09T15:09:29Z Plan name: SharePoint Machine name: Admin Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","61","Silverstone Developments","85","Silverstone - Newstead","21",,"9",,,"3","Account Administration","","","","2026-04-09T15:11:37.83","2026-04-09T23:01:36.73","1","Unassigned","225","General User","3"
"77092","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T15:07:45.97","2026-04-09T15:08:16.083","1","Unassigned","1750","Finnegan Richmond","-9"
"77091","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T15:07:01Z to 2026-04-09T15:07:01Z - MODERATE/MEDIUM","Device display name: BWP-5CD450HRXW (Finnegan R)Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T15:07:01Z to 2026-04-09T15:07:01Z","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-09T15:07:46.023","2026-04-09T19:07:57.21","1","Unassigned","1750","Finnegan Richmond","-9"
"77090","[CON] Backup succeeded with warnings","Failed to get the properties of list '0244 The Windermere - 77 Racecourse Road, Ascot'. Time: 2026-04-09T14:40:01Z Plan name: SharePoint Machine name: CON Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","61","Silverstone Developments","85","Silverstone - Newstead","21",,"9",,,"3","Account Administration","","","","2026-04-09T14:41:37.287","2026-04-09T22:11:36.37","1","Unassigned","225","General User","3"
"77089","[ShieldTech Management] Backup succeeded with warnings","Failed to get the properties of list 'Documents'. Time: 2026-04-09T14:32:24Z Plan name: O365 SharePoint Machine name: ShieldTech Management Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupFinishedWithWarnings","117","ShieldTech Locksmiths & Security","311","ShieldTech Locksmiths & Security - Zillmere","21",,"9",,,"3","Account Administration","","","","2026-04-09T14:41:37.01","2026-04-09T22:31:36.227","1","Unassigned","1088","General User","3"
